Title,IMDB ID,Released in Theaters,Release Year,Rating,Rotten Tomatoes,Wikipedia ID
The Croods,tt0481499,False,2013,PG,770818015,26508404
Scream 2,tt0120082,False,1997,R,16559,600320
Dark Crimes,tt1901024,False,2018,NR,0,0
Murder at 1600,tt0119731,False,1997,R,14227,2709182
"Crouching Tiger, Hidden Dragon",tt0190332,False,2000,PG-13,10267,5313
Across the Universe,tt0445922,False,2007,PG-13,563717185,4399897
The Little Hours,tt5666304,False,2017,R,771466949,50426133
Tucker & Dale vs. Evil,tt1465522,False,2010,R,770812374,26255812
The Perfect Date,tt8201170,False,2019,NR,0,0
Tarzan,tt0120855,False,1999,G,9491,1749093
Swiss Army Man,tt4034354,False,2016,R,771435762,48372999
Ocean's Eleven,tt0054135,False,1960,NR,18453,154956
Berlin Syndrome,tt3335606,False,2017,NR,771467647,48594380
Death Note,tt1241317,False,2017,NR,771470260,48555614
A Separation,tt1832382,False,2011,PG-13,771237246,30547958
Good Luck Chuck,tt0452625,False,2007,R,528347193,5606124
Evolution,tt0251075,False,2001,PG-13,10706,899255
Article 15,tt10324144,False,2019,NR,0,0
Get Santa,tt1935940,False,2014,PG,771373228,0
First Kill,tt5884234,False,2017,R,771471294,51487271
Christmas in the Smokies,tt4923846,False,2015,NR,0,0
Mudbound,tt2396589,False,2017,R,771467011,50355187
The Bounty Hunter,tt1038919,False,2010,PG-13,770856804,23535297
Equilibrium,tt0238380,False,2002,R,12894,234537
Babel,tt0449467,False,2006,R,314388060,3060756
Holly Star,tt6268734,False,2018,NR,0,0
Daddy Day Care,tt0317303,False,2003,PG,10928,240907
Peter Rabbit,tt5117670,False,2018,NR,771435672,48893223
Blue Jasmine,tt2334873,False,2013,PG-13,771324609,38174667
Free Fire,tt4158096,False,2017,R,771434438,46969943
A Single Man,tt1315981,False,2009,R,770808473,24207129
Kung Fu Hustle,tt0373074,False,2004,R,12861,1607895
Who's That Knocking at My Door?,tt0063803,False,1967,R,16116,1873112
The Longest Yard,tt0071771,False,1974,R,14399,1187057
Something's Gotta Give,tt0337741,False,2003,PG-13,10126,414180
Self/Less,tt2140379,False,2015,PG-13,771357231,39469485
How It Ends,tt5246700,False,2018,NR,0,0
The Forbidden Kingdom,tt0865556,False,2008,PG-13,770679747,6703617
50/50,tt1306980,False,2011,R,771234468,28150124
Catwoman,tt0327554,False,2004,PG-13,10994,789903
A Serious Man,tt1019452,False,2009,R,770785948,19226290
Carriers,tt0806203,False,2009,PG-13,770808363,24013376
The Ugly Truth,tt1142988,False,2009,R,770789184,17901762
To the Bone,tt5541240,False,2017,NR,771466974,50200457
"Berlin, I Love You",tt2275743,False,2019,NR,0,0
The Wandering Earth,tt7605074,False,2019,NR,0,0
A Silent Voice,tt5323662,False,2016,NR,0,0
War Horse,tt1568911,False,2011,PG-13,771041783,27754718
Superstar,tt0167427,False,1999,PG-13,12633,1766274
Jay and Silent Bob Strike Back,tt0261392,False,2001,R,13081,101523
Ip Man 3,tt2888046,False,2015,PG-13,771416583,46223967
The Hundred-Foot Journey,tt2980648,False,2014,PG,771359009,39689009
The Spiderwick Chronicles,tt0416236,False,2008,PG,770669821,3117439
Bee Movie,tt0389790,False,2007,PG,390896977,2863319
Secret obsession,tt9419834,False,2019,PG-13,0,0
Wish Man,tt3246874,False,2019,NR,0,0
The Awakening of Motti Wolkenbruch,tt4766630,False,2018,NR,0,0
22 July,tt7280898,False,2018,NR,0,0
War on Everyone,tt3708886,False,2016,NR,771437715,46523426
Amar,tt5479616,False,2017,NR,0,0
"Game Over, Man!",tt3317234,False,2018,NR,771472400,53998144
Rocky V,tt0100507,False,1990,PG-13,12827,153435
Drive,tt6593054,False,2019,NR,771509206,53358312
Supergirl,tt0088206,False,1984,PG,11892,1616817
The Do-Over,tt4769836,False,2016,NR,771440520,47182601
"To Wong Foo, Thanks for Everything! Julie Newmar",tt0114682,False,1995,PG-13,10361,873029
The Boy Who Harnessed The Wind,tt7533152,False,2019,NR,0,0
Hot Bot,tt2854394,False,2016,NR,771445190,0
Spectral,tt2106651,False,2016,PG-13,771383764,43539350
Lady in the Water,tt0452637,False,2006,PG-13,190815951,1644192
Dark Places,tt2402101,False,2015,R,771362649,45075253
How to Be a Latin Lover,tt4795124,False,2017,PG-13,771445237,52660802
World Trade Center,tt0469641,False,2006,PG-13,248007780,3837375
Knowing,tt0448011,False,2009,PG-13,770782161,17544255
It Takes Two,tt0113442,False,1995,PG,10778,4446490
Pranaam,tt7228072,False,2019,NR,0,0
Pottersville,tt3672120,False,2017,NR,771443314,54113624
The Stanford Prison Experiment,tt0420293,False,2015,R,771412100,43788676
Tears of the Sun,tt0314353,False,2003,R,13309,1128661
Transcendence,tt2209764,False,2014,PG-13,771323313,39306741
Sleeping With Other People,tt3165612,False,2015,R,771364241,43263164
Vantage Point,tt0443274,False,2008,PG-13,770671130,11763661
The Exception,tt4721124,False,2017,R,771449915,51419326
Mercy Black,tt8758086,False,2019,NR,0,0
A Most Violent Year,tt2937898,False,2014,R,771373530,39700667
Close,tt5316540,False,2019,R,0,0
Scream 3,tt0134084,False,2000,R,13688,600351
PK,tt2338151,False,2014,NR,0,0
Set It Up,tt5304992,False,2018,NR,0,0
6 Years,tt3799372,False,2015,NR,771422522,43134385
Rumor Has It,tt0398375,False,2005,PG-13,24473,2492165
Season of the Witch,tt0479997,False,2011,PG-13,770816170,20402406
Undercover Brother 2,tt6843446,False,2019,NR,0,0
Race to Witch Mountain,tt1075417,False,2009,PG,770685949,17111814
Good Burger,tt0119215,False,1997,PG,10895,230536
Small Soldiers,tt0122718,False,1998,PG-13,12702,171939
Maps to the Stars,tt2172584,False,2014,R,771321139,39386494
Wild Child,tt1024255,False,2008,PG-13,770680383,12230323
Badla,tt8130968,False,2019,NR,0,57725794
White Girl,tt4129870,False,2016,NR,771435791,49183518
Kabir Singh,tt8983202,False,2019,NR,0,0
Bolt,tt0397892,False,2008,PG,770681835,2017211
Automata,tt1971325,False,2014,R,771380715,39497583
The Outsider,tt10303892,False,2019,NR,0,0
"As Above, So Below",tt2870612,False,2014,R,771310211,42141285
I Am Wrath,tt3212232,False,2016,R,771385341,46197021
20th Century Women,tt4385888,False,2016,R,771446022,47425203
The Influence,tt4008566,False,2019,NR,771509806,0
Horns,tt1528071,False,2013,R,771315789,37844127
Balto,tt0112453,False,1995,G,9562,1487971
Kicking and Screaming,tt0113537,False,1995,R,280182119,1745419
The Tribes of Palos Verdes,tt1507571,False,2017,R,771476517,50227589
Taare Zameen Par,tt0986264,False,2007,PG,770679392,8843403
Last Knights,tt2493486,False,2015,R,771413801,37696558
The Bar,tt5121816,False,2017,NR,771474362,52994845
Suffragette,tt3077214,False,2015,PG-13,771376303,42050889
Calibre,tt6218358,False,2018,NR,0,0
Goosebumps 2: Haunted Halloween,tt5664636,False,2018,NR,771467435,57553411
Space Cowboys,tt0186566,False,2000,PG-13,10873,1722156
Veronica,tt5862312,False,2017,NR,771476368,54958897
The Riot Club,tt2717860,False,2014,R,771373991,41823997
The Promise,tt4776998,False,2016,PG-13,771449555,46995803
Rocky III,tt0084602,False,1982,PG,12172,152328
Kings,tt5843850,False,2017,NR,0,0
The Bucket List,tt0825232,False,2007,PG-13,770677066,7404698
The Invisible Guardian,tt4924942,False,2017,NR,771475524,0
Would You Rather,tt1999995,False,2012,NR,771303181,34565371
Mona Lisa Smile,tt0304415,False,2003,PG-13,10479,883489
The Space Between Us,tt3922818,False,2017,PG-13,771434794,47398374
The Time Traveler's Wife,tt0452694,False,2009,PG-13,770680255,10753947
Take Me Home Tonight,tt0810922,False,2011,R,770682020,9401743
Bedtime Stories,tt0960731,False,2008,PG,770680576,16204877
Hustle & Flow,tt0410097,False,2005,R,2132,2184458
Baahubali: The Beginning,tt2631186,False,2015,NR,771419823,38222746
Rim of the World,tt8179388,False,2019,PG,0,0
Paul Blart: Mall Cop,tt1114740,False,2009,PG,770782196,16368206
The Siege of Jadotville,tt3922798,False,2016,NR,771414019,51623628
The Lake House,tt0410297,False,2006,PG,155655156,3995423
Spy Kids: Game Over,tt0338459,False,2003,PG,10461,194693
The Pink Panther,tt0383216,False,2006,PG,19049948,2581392
Surf's Up,tt0423294,False,2007,PG,414930158,2811955
Between Worlds,tt7295450,False,2018,R,771494178,55213552
Poseidon,tt0409182,False,2006,PG-13,155654957,2688309
I Don't Feel at Home in This World Anymore,tt5710514,False,2017,NR,771466977,52594568
Chicken Little,tt0371606,False,2005,G,9043,1194084
XXX,tt0295701,False,2002,PG-13,11915,415156
K-19: The Widowmaker,tt0267626,False,2002,PG-13,11075,43307
Creep,tt2428170,False,2014,R,0,42233785
Swordfish,tt0244244,False,2001,R,13173,963435
Bullet Head,tt6204340,False,2017,R,771485894,0
The Brothers Grimm,tt0355295,False,2005,PG-13,5616,1393739
Goon,tt1456635,False,2012,R,771218243,33720652
The Package,tt7525778,False,2018,R,0,0
Before I Wake,tt3174376,False,2016,PG-13,771378313,42414813
The Captive,tt2326612,False,2014,R,771379171,39573527
Jersey Boys,tt1742044,False,2014,R,771361033,40054105
Personal Shopper,tt4714782,False,2016,R,771442424,50155243
The Break-Up,tt0452594,False,2006,PG-13,155655036,2385928
TAU,tt4357394,False,2018,R,0,0
